mgh_2,mgh_3,mgh_4,product_type,Product Style,,,
Lifestyle,ACCESSORIES,Graphic Accessories,Pin,Not assigned,,,
Lifestyle,ACCESSORIES,Graphic Accessories,Sticker,Not assigned,,,
Lifestyle,ACCESSORIES,Graphic Accessories,Stitch Patch,Not assigned,,,
Lifestyle,ACCESSORIES,Graphic Accessories,Velcro Patch,Not assigned,,,
Lifestyle,ACCESSORIES,Jewelry,Bracelet,Not assigned,,,
Lifestyle,ACCESSORIES,Belts,Clip Belt,Not assigned,,,
Lifestyle,ACCESSORIES,Belts,Flip Belt,N/A,,,
Lifestyle,ACCESSORIES,Belts,Flip Belt,Not assigned,,,
Lifestyle,ACCESSORIES,Belts,Pin Belt,Not assigned,,,
Lifestyle,ACCESSORIES,Belts,Ring Belt,Not assigned,,,
Lifestyle,ACCESSORIES,Belts,Tongue Belt,Not assigned,,,
Lifestyle,ACCESSORIES,Watches,Analog,Not assigned,,,
Lifestyle,ACCESSORIES,Watches,Analog Chrono,Not assigned,,,
Lifestyle,ACCESSORIES,Watches,Digital,Not assigned,,,
Lifestyle,ACCESSORIES,Sunglasses,Casual Glasses,Aviator,,,
Lifestyle,ACCESSORIES,Sunglasses,Casual Glasses,Browline,,,
Lifestyle,ACCESSORIES,Sunglasses,Casual Glasses,Square,,,
Lifestyle,ACCESSORIES,Masker Strap,Basic,Webbing,,,
Lifestyle,ACCESSORIES,Masker Strap,Basic,String,,,
Lifestyle,EQUIPMENT,Tents,Camping Tent,Vis a Vis,,,
Lifestyle,EQUIPMENT,Tents,SHELTER,Pop Up / Quick Build,,,
Lifestyle,EQUIPMENT,Tents,AWNING,CAR,,,
Lifestyle,EQUIPMENT,Tents,TEEPE TENT,N/A,,,
Lifestyle,EQUIPMENT,Sleeping Bag,Regular,Rectangular Sleeping Bag,,,
Lifestyle,EQUIPMENT,Sleeping Accs,Blanket,Regular Blanket,,,
Lifestyle,EQUIPMENT,Mat & Cot,Sajadah,Regular,,,
Lifestyle,EQUIPMENT,Mat & Cot,Sajadah,Not assigned,,,
Lifestyle,EQUIPMENT,Mat & Cot,MATTRESS,Not assigned,,,
Lifestyle,EQUIPMENT,Water Storage,Bottle,Plastic,,,
Lifestyle,EQUIPMENT,Water Storage,Bottle,Stainless Steel,,,
Lifestyle,EQUIPMENT,Water Storage,Bottle,Not assigned,,,
Lifestyle,EQUIPMENT,Water Storage,Flask,Stainless Steel,,,
Lifestyle,EQUIPMENT,Kitchenware,Cup,Enamel,,,
Lifestyle,EQUIPMENT,Kitchenware,Cutlery,Stainless,,,
Lifestyle,EQUIPMENT,Kitchenware,Mug,Enamel,,,
Lifestyle,EQUIPMENT,Kitchenware,Mug,Stainless,,,
Lifestyle,EQUIPMENT,Kitchenware,TABLEWARE SET,Stainless Steel,,,
Lifestyle,EQUIPMENT,Fire Equipment,Stove,Gas Stove,,,
Lifestyle,EQUIPMENT,Storage,Dry Bag,Oval,,,
Lifestyle,EQUIPMENT,Storage,STORAGE BOX,Plastic,,,
Lifestyle,EQUIPMENT,Towel,Packable / Compact,Not assigned,,,
Lifestyle,EQUIPMENT,Towel,Regular,Not assigned,,,
Lifestyle,EQUIPMENT,Chair,Single,Foldable,,,
Lifestyle,EQUIPMENT,Care & Repair,WATERPROOF SPRAY,Not assigned,,,
Lifestyle,EQUIPMENT,Table,Foldable,Not assigned,,,
Lifestyle,FOOTWEAR,Shoes,High-cut shoes,Classic,,priority labelling,
Lifestyle,FOOTWEAR,Shoes,Low-cut shoes,Sneakers,,1. mgh_2 100% records labelled correct,
